R0347444431404653023530	Current Bid
R05402728383153160318312944473546314477	Enable PCRecruiter:
R1603183129444735463144530116095311315177	PCRecruiter API Key:
R16031831294447354631445301424253090477	PCRecruiter App ID:
R16031831294447354631445301160953211812536505508453344646424577868649494984422944312944473546314484403146864431454686274235866677	PCRecruiter API URL (Ex. https://www.pcrecruiter.net/rest/api/):
R160318312944473546314453042746272827453153090477	PCRecruiter Database ID:
R16031831294447354631445304274627282745315321453144531427393177	PCRecruiter Database User Name:
R160318312944473546314453042746272827453153162745454941443077	PCRecruiter Database Password:
R04275145534740463538532753364128533150423544314577	Days until a job expires:
R13314047531532031504677	Menu 1 Text:
R13314047532532031504677	Menu 2 Text:
R13314047533532031504677	Menu 3 Text:
R13314047534532031504677	Menu 4 Text:
R13314047535532031504677	Menu 5 Text:
R13314047536532031504677	Menu 6 Text:
R13314047537532031504677	Menu 7 Text:
R19344149531331404753153414053463431534535463139274277	Show Menu 1 on the sitemap:
R19344149531331404753253414053463431534535463139274277	Show Menu 2 on the sitemap:
R19344149531331404753353414053463431534535463139274277	Show Menu 3 on the sitemap:
R19344149531331404753453414053463431534535463139274277	Show Menu 4 on the sitemap:
R19344149531331404753553414053463431534535463139274277	Show Menu 5 on the sitemap:
R19344149531331404753653414053463431534535463139274277	Show Menu 6 on the sitemap:
R19344149531331404753753414053463431534535463139274277	Show Menu 7 on the sitemap:
R23312845354631531241334177	Website Logo:
R05402728383153463431531819195306313130455328474646414077	Enable the RSS Feeds button:
R05402728383153463431530627484144354631455328474646414077	Enable the Favorites button:
R05402728383153463431531327354053162733315328474646414077	Enable the Main Page button:
R05402728383153463431534541293527385340314649414437534534274435403377	Enable the social network sharing:
R142739315341325351414744534931284535463177	Name of your website:
R0347444431402951530341303177	Currency Code:
R02273053494144304553464153323538463144534147465341325351414744534931284535463184536519314231442746313053285153034139392754456677	Bad words to filter out of your website. (Seperated by Comma&#39;s):
R183129414430455346415345344149534231445327534227333177	Records to show per a page:
R13275035394739533539273331534535523153463427465329274053283153474238412730313084536511026677	Maximum image size that can be uploaded. (KB):
R1931383129465351414744534244353927445153382740334727333177	Select your primary language:
R19344149532941404631404653294147404653493431405330354542382751354033532927463133414435314577	Show content count when displaying categories:
R203539315341323245314653354053344147444577	Time offset in hours:
R18314347354431534634315338414931454653383148313853413253292746313341445153464153283153453138312946313077	Require the lowest level of category to be selected:
R084139315316273331	Home Page
R6868685319313831294653275301292931454553033827454553686868	--- Select a Access Class ---
R19313831294653274053012946354140	Select an Action
R0431383146315303414046314046	Delete Content
R183145464144315303414046314046	Restore Content
R1341304738315314273931	Module Name
R042746315304313831463130	Date Deleted
R2034315344312951293831532835405335455329474444314046385153313942465184	The recycle bin is currently empty.
R014242444148273853033427354045	Approval Chains
R0327463133414451531931464742	Category Setup
R0427462728274531532041413845	Database Tools
R053927353853203139423827463145	Email Templates
R03342740333153044139273540	Change Domain
R093927333153193552354033	Image Sizing
R0939424144465321463538354651	Import Utility
R19312744293453154246353935522746354140	Search Optimization
R1501474634538653011609	OAuth / API
R195145463139530435273340414546352945	System Diagnostics
R04313831463153014242444148273853033427354045	Delete Approval Chains
R03342735405314273931	Chain Name
R1441532742424441482738532934273540455334274831532831314053273030313084	No approval chains have been added.
R132740273331	Manage
R013030530142424441482738530334273540	Add Approval Chain
R23273546354033530142424441482738	Waiting Approval
R1931464635403345	Settings
R08313842	Help
R0431383146315303274631334144353145	Delete Categories
R1327454553214230274631	Mass Update
R0715	GO
R04313831463153053927353853203139423827463145	Delete Email Templates
R20313942382746315314273931	Template Name
R05392735385319472836312946	Email Subject
R1441533139273538534631394238274631455334274831532831314053273030313084	No email templates have been added.
R013030530539273538532031394238274631	Add Email Template
R15383053044139273540531427393177	Old Domain Name:
R14314953044139273540531427393177	New Domain Name:
R014446352938314577	Articles:
R0147294635414077	Auction:
R02474535403145455304354431294641445177	Business Directory:
R033827454535323531305301304577	Classified Ads:
R04414940384127304577	Downloads:
R054831404653032738314030274477	Event Calendar:
R132746293453132737314477	Match Maker:
R1431494577	News:
R16344146415301382847394577	Photo Albums:
R1634414641530727383831445177	Photo Gallery:
R16414546292744304577	Postcards:
R183127385305454627463177	Real Estate:
R1934414242354033531327383877	Shopping Mall:
R1942312737314454455302474431274777	Speaker&#39;s Bureau:
R1942414446455313274027333144536853034127293477	Sports Manager - Coach:
R194241444645531327402733314453685316382751314477	Sports Manager - Player:
R19424144464553132740273331445368532031273977	Sports Manager - Team:
R2145314453164441323538314577	User Profiles:
R0341393927	Comma
R202728	Tab
R193139352941384140	Semicolon
R193138312946532753394130473831534641533539424144465330274627533540464177	Select a module to import data into:
R16414446273853464153392742533027462753464177	Portal to map data to:
R19314231442746414477	Seperator:
R193138312946532753323538315346415335394241444677	Select a file to import:
R060117	FAQ
R1235403753043544312946414451	Link Directory
R14314945	News
R1431494538314646314445	Newsletters
R19344142423540335313273838	Shopping Mall
R1327354053164144462738	Main Portal
R0741413338315319354631392742	Google Sitemap
R0130303546354140273853133146275320273345	Additional Meta Tags
R013030531331462753202733	Add Meta Tag
R0431383146315301294635483546353145	Delete Activities
R01294635483546515320514231	Activity Type
R0431452944354246354140	Description
R09165301303044314545	IP Address
R013030530129463548354651	Add Activity
R15014746345303383531404653090477	OAuth Client ID:
R1501474634530338353140465319312944314677	OAuth Client Secret:
R1501474634530344312746354140530427463177	OAuth Creation Date:
R044139273540455301474634414435523130534641530129293145455346343153150147463453011609536515403153423144532753383540316677	Domains Authorized to Access the OAuth API (One per a line):
R1935463153203139423827463145	Site Templates
R214238412730532031394238274631	Upload Template
R2031394238274631530431453533403144	Template Designer
R143149532031394238274631	New Template
R15423140532031394238274631	Open Template
R0130482740293153063538315313274027333144	Advance File Manager
R19344142533241445327532031394238274631	Shop for a Template
R043138314631531627333145	Delete Pages
R162733315314273931	Page Name
R05402728383130	Enabled
R23312853162733314553651441465341405327531331404766	Web Pages (Not on a Menu)
R013030532331285316273331	Add Web Page
R0130305305504631444027385312354037	Add External Link
R14414653414053275313314047	Not on a Menu
R0744414742531235454645	Group Lists
R033827454531458611315145	Classes/Keys
R0940484135293145	Invoices
R18314531465313313928314445	Reset Members
R214531445314273931	User Name
R162751162738530539273538	PayPal Email
R2331284535463153211812	Website URL
R1831483140473153073140314427463130	Revenue Generated
R162751414746	Payout
R1627515321453144	Pay User
R0441494038354031	Downline
R162751393140465308354546414451	Payment History
R214238412730530939273331	Upload Image
R043138314631530744414742531235454645	Delete Group Lists
R123545465314273931	List Name
R22353149532145314445	View Users
R14415333444147425338354546455334274831532831314053273030313084	No group lists have been added.
R0130305307444147425312354546	Add Group List
R0431383146315303382745453145	Delete Classes
R03382745455314273931	Class Name
R16443548274631530338274545	Private Class
R03382745453145	Classes
R013030530338274545	Add Class
R11315145	Keys
R01303053113151	Add Key
R1949354629345321453144455346415301404146343144530338274545	Switch Users to Another Class
R043138314631531431494538314646314445	Delete Newsletters
R1231464631445314273931	Letter Name
R19314046	Sent
R14415340314945383146463144455334274831532831314053273030313084	No newsletters have been added.
R0130305314314945383146463144	Add Newsletter
R193140305314314945383146463144	Send Newsletter
R043138314631530940484135293145	Delete Invoices
R132744375327455316273530	Mark as Paid
R13274437532745531441465316273530	Mark as Not Paid
R064738385314273931	Full Name
R154430314453194627464745	Order Status
R15443031445304274631	Order Date
R1441465316273530	Not Paid
R13414046343851531946274645	Monthly Stats
R0130305309404841352931	Add Invoice
R0431383146315339313928314445	Delete members
R1327443753274553272946354831	Mark as active
R132744375327455340414653272946354831	Mark as not active
R134148315346415327532938274545	Move to a class
R0130305327292931454553373151	Add access key
R1831394148315327292931454553373151	Remove access key
R0130305346415333444147425338354546	Add to group list
R05392735385301303044314545	Email Address
R12274546531241333540	Last Login
R1935334047425304274631	Signup Date
R14314953133139283144	New Member
R09404835463153133139283144	Invite Member
R686868531931383129465327530129293145455311315153686868	--- Select a Access Key ---
R686868531931383129465327530744414742531235454653686868	--- Select a Group List ---
R0130483144463545354033	Advertising
R0132323538352746315316444133442739	Affiliate Program
R0238413345	Blogs
R034140463140465318414627464144	Content Rotator
R043545294147404645	Discounts
R05681231274440354033	E-Learning
R0641443945	Forms
R154038354031530727393145	Online Games
R16414446273845	Portals
R19344142423540335303274446	Shopping Cart
R193533404742	Signup
R194231273731444553024744312747	Speakers Bureau
R2241472934314445	Vouchers
R0431383146315313313928314445	Delete Members
R194627464745	Status
R05444441445313314545273331	Error Message
R09404827383530530334274427294631444553354053214531445314273931	Invalid Characters in User Name
R6519313831294653275318314241444666	(Select a Report)
R183142414446531427393177	Report Name:
R193441495320414627384577	Show Totals:
R164435404686055042414446	Print/Export
R1327402733315318314241444645	Manage Reports
R01303053183142414446	Add Report
R204146273853013045	Total Ads
R0550423544313053013045	Expired Ads
R214035434731532145314445	Unique Users
R2041462738532145314445	Total Users
R204146273853012946354831	Total Active
R20414627385314414653012946354831	Total Not Active
R19462746354546352945	Statistics
R034745464139355231	Customize
R04313831463153013045	Delete Ads
R1935463153211812	Site URL
R2027443331465326414031	Target Zone
R013048314446354531393140465316443148353149	Advertisement Preview
R0130483144463545313931404645	Advertisements
R0130305301304831444635453139314046	Add Advertisement
R16443529354033	Pricing
R013030531644352931	Add Price
R2641403145	Zones
R0130305326414031	Add Zone
R043138314631530144463529383145	Delete Articles
R1327443753274553164728383545343130	Mark as Published
R132744375327455316314030354033	Mark as Pending
R132744375327455301442934354831	Mark as Archive
R0831273038354031	Headline
R014746344144	Author
R08312730383540315304274631	Headline Date
R0130305301444635293831	Add Article
R03274631334144353145	Categories
R013030530327463133414451	Add Category
R03474546413953063531383045	Custom Fields
R01303053034745464139530635313830	Add Custom Field
R1931294635414045	Sections
R0130305319312946354140	Add Section
R013045	Ads
R013030530130	Add Ad
R043138314631530238413345	Delete Blogs
R1327443753274553012946354831	Mark as Active
R023841335314273931	Blog Name
R14415328384133455334274831532831314053273030313084	No blogs have been added.
R0431383146315302474535403145453145	Delete Businesses
R02474535403145455314273931	Business Name
R02474535403145453145	Businesses
R013030530247453540314545	Add Business
R14415329382745453532353130532730455334274831532831314053273030313084	No classified ads have been added.
R144153294140463140465334274831532831314053273030313084	No content have been added.
R03414046314046	Content
R0130305303414046314046	Add Content
R04313831463153043545294147404645	Delete Discounts
R12272831385320315046	Label Text
R1441533035452941474046455334274831532831314053273030313084	No discounts have been added.
R013030530435452941474046	Add Discount
R04313831463153044149403841273045	Delete Downloads
R0635383145	Files
R0130305306353831	Add File
R0431383146315303414744453145	Delete Courses
R19462744465304274631	Start Date
R0540305304274631	End Date
R03414744453145	Courses
R01303053034147444531	Add Course
R0550273945	Exams
R013030530550273945	Add Exams
R0145453533403931404645	Assignments
R0130305301454535334039314046	Add Assignment
R1946473031404645	Students
R04313831463153054831404645	Delete Events
R05483140465304274631	Event Date
R05483140465320353931	Event Time
R054831404645	Events
R013030530548314046	Add Event
R0548314046532051423145	Event Types
R0130305305483140465320514231	Add Event Type
R0130305304313227473846532051423145	Add Default Types
R043138314631530601175445	Delete FAQ&#39;s
R14415306011754455334274831532831314053273030313084	No FAQ&#39;s have been added.
R06011745	FAQs
R01303053060117	Add FAQ
R043138314631530641443945	Delete Forms
R1327443753014827353827283831	Mark Available
R13274437532140274827353827283831	Mark Unavailable
R0130305306414439	Add Form
R1947283935454535414045	Submissions
R04313831463153204142352945	Delete Topics
R204142352945	Topics
R0431383146315305404644353145	Delete Entries
R13314545273331	Message
R05404644353145	Entries
R013030530540464451	Add Entry
R03354651861946274631	City/State
R2041462738531827463145	Total Rates
R21453144531827463145	User Rates
R18274635403345	Ratings
R18314531465318274635403345	Reset Ratings
R043138314631532331284535463145	Delete Websites
R123540375314273931	Link Name
R2331284535463145	Websites
R043138314631531644413235383145	Delete Profiles
R2235314945	Views
R14415342444132353831455334274831532831314053273030313084	No profiles have been added.
R1644413235383145	Profiles
R18314835314945	Reviews
R01303053183148353149	Add Review
R0431383146315314314945	Delete News
R144153403149455334274831532831314053273030313084	No news have been added.
R0130305314314945	Add News
R072739315314273931	Game Name
R0727393145	Games
R164435293153324144532753403149533835454635403377	Price for a new listing:
R1644352931533241445327533231274647443130533835454635403377	Price for a featured listing:
R164435293153324144532841383053463546383177	Price for bold title:
R164435293153324144533435333438353334463130533835454635403377	Price for highlighted listing:
R04313831463153013828473945	Delete Albums
R01382847395314273931	Album Name
R043138314631531641383845	Delete Polls
R14415342413838455334274831532831314053273030313084	No polls have been added.
R0130305316413838	Add Poll
R0431383146315316414446273845	Delete Portals
R1641444627385314273931	Portal Name
R22353149	View
R144153424144462738455334274831532831314053273030313084	No portals have been added.
R01303053164144462738	Add Portal
R04313227473846531627333145	Default Pages
R0431383146315316444142314446353145	Delete Properties
R16444142314446515320514231	Property Type
R03354651	City
R1946274631	State
R16444142314446353145	Properties
R013030531644414231444651	Add Property
R02444137314445	Brokers
R01303053024441373144	Add Broker
R013331404645	Agents
R013030530133314046	Add Agent
R162751162738530539273538530130304431454577	PayPal Email Address:
R0147463441443552318414314653124133354077	Authorize.Net Login:
R014746344144355231841431465320442740452729463541405311315177	Authorize.Net Transaction Key:
R3119313831294653163847455301160953204137314077	eSelect Plus API Token:
R31193138312946531638474553194641443153090477	eSelect Plus Store ID:
R033431293786134140315153154430314453053927353853162751393140464553204177	Check/Money Order Email Payments To:
R03343129378613414031515315443031445313273538534641530130304431454577	Check/Money Order Mail to Address:
R033431293786134140315153154430314453162751393140465309404546444729463541404577	Check/Money Order Payment Instructions:
R1919125319314448314453211812536531508453344646424577868649494984334141333831842941396677	SSL Server URL (ex. https://www.google.com):
R191912531931444831445308312730314477	SSL Server Header:
R191912531931444831445306414146314477	SSL Server Footer:
R134738463519273231422751530129294147404653090477	MultiSafepay Account ID:
R134738463519273231422751531935463153090477	MultiSafepay Site ID:
R1347384635192732314227515319354631530341303177	MultiSafepay Site Code:
R16275139314046530727463149275145	Payment Gateways
R1931464742530727463149275145	Setup Gateways
R2027503145	Taxes
R01303053202750	Add Tax
R043138314631531644413047294645	Delete Products
R164441304729465314273931	Product Name
R09463139531644352931	Item Price
R082740303835403353063131	Handling Fee
R1644413047294645	Products
R132740273331531644413047294645	Manage Products
R0130305316444130472946	Add Product
R13274027333153194641443145	Manage Stores
R1327402733315319344142423540335313314634413045	Manage Shopping Methods
R01303053193435424235403353133146344130	Add Shipping Method
R233441383145273831228530631313045	Wholesale2b Feeds
R013030532334413831452738312285306313130	Add Wholesale2b Feed
R04313831463153063531383045	Delete Fields
R06353138305314273931	Field Name
R0140454931445320514231	Answer Type
R1831434735443130	Required
R144153294745464139533235313830455334274831532831314053273030313084	No custom fields have been added.
R04313831463153194231273731445445	Delete Speaker&#39;s
R122745465314273931	Last Name
R06354445465314273931	First Name
R1942312737314445	Speakers
R0130305319423127373144	Add Speaker
R013030532041423529	Add Topic
R043138314631531935463145	Delete Sites
R144153474531445342273331455334274831532831314053273030313084	No user pages have been added.
R1935463145	Sites
R1335383145	Miles
R043138314631532241472934314445	Delete Vouchers
R024751532035463831	Buy Title
R16474429342745315303413031	Purchase Code
R14415348414729343144455334274831532831314053273030313084	No vouchers have been added.
R0130305322414729343144	Add Voucher
R164744293427453130532241472934314445	Purchased Vouchers
R14414031	None
R1931383129465327530327463133414451533540534634315328415053283138414953493431443153464153383545465351414744533546313977	Select a Category in the box below where to list your item:
R02475153203546383177	Buy Title:
R1934414446530431452944354246354140536505508453204130275153154038515753073146536561534527483540334553414053352931532944312739576677	Short Description (Ex. Today Only! Get 65% savings on ice cream!):
R124140335304314529443542463541405365043145294435283153414246354140455327482735382728383153464153463431532947454641393144534740303144534634354553303127386677	Long Description (Describe options available to the customer under this deal):
R124133415309392733315365214238412730534140315338413341534144533539273331533031452944354246354831534132535141474453303127385341445351414744532847453540314545845306353831533947454653283153404153382744333144534634274053250425053505325042505327403053394745465328315341424635393552313053324144534634315349312853354053844240335341445384364233533241443927466677	Logo Image (Upload one logo or image descriptive of your deal or your business. File must be no larger than 250px x 250px and must be optimized for the web in .png or .jpg format):
R02274453034130315309392733315365093253514147533427483153275333442742343529532827445329413031534634274653514147534927404653464153474531534641534529274053463431534841472934314453274653514147445342413540465341325345273831835351414753292740534742384127305335465334314431845309465335455340414653443143473544313053274030534931534644272937532738385342474429342745313053484147293431444553493546345327534542312935273853442740304139532941303153464153343138425342443148314046533244274730845308414931483144835335465335455351414744534431454241404535283538354651534641534431294140293538315351414744534841472934314445534641532831534547443153275345423129353235295348414729343144533427455340414653273844312730515328313140534431303131393130846677	Bar Code Image (If you have a graphic bar code that you want to use to scan the voucher at your point of sale, you can upload it here. It is not required and we track all purchased vouchers with a special random code to help prevent fraud. However, it is your responsibility to reconcile your vouchers to be sure a specific voucher has not already been redeemed.):
R1927383153164435293177	Sale Price:
R154435333540273853222738473177	Original Value:
R1927483540334553651927483540334553274431532747464139274635292738385153292738294738274631305328274531305341405346343153482738473145535141475334274831533140463144313053354053463431533235313830455327284148316677	Savings (Savings are automatically calculated based on the values you have entered in the fields above):
R132750531747274046354651530148273538272838315365203435455335455346343153392750353947395340473928314453413253484147293431444553514147534927404653464153392737315327482735382728383153324144534527383153274653463435455342443529318453052484535006677	Max Quantity Available (This is the maximum number of vouchers you want to make available for sale at this price. EX. 500):
R13275053174727404635465153163144532145314453652034354553323531383053354553324144533140463144354033534634315339275035394739534347274046354651534132534841472934314445532753453540333831534231444541405339275153424744293427453153474030314453463435455330312738845305502739423831775351414753392751534927404653464153383539354653275345354033383153423144454140534641534247442934274531533534841472934314445533927503539473953454153463427465346343144315327443153314041473334534641533341532744414740305332414453414634314445534641534247442934274531846677	Max Quantity Per User (This field is for entering the maximum quantity of vouchers a single person may purchase under this deal. Example: you may want to limit a single person to purchase 3 vouchers maximum so that there are enough to go around for others to purchase.):
R1831303139424635414053194627444653042746315365183130313942463541405330274631455327443153463431533027463145534634274653463431532947454641393144532927405344313031313953275348414729343144532746535141474453284745354031454553414453275330354529414740465329413031532746535141474453493128453546316677	Redemption Start Date (Redemption dates are the dates that the customer can redeem a voucher at your business or a discount code at your website):
R183130313942463541405305403053042746315365183130313942463541405330274631455327443153463431533027463145534634274653463431532947454641393144532927405344313031313953275348414729343144532746535141474453284745354031454553414453275330354529414740465329413031532746535141474453493128453546316677	Redemption End Date (Redemption dates are the dates that the customer can redeem a voucher at your business or a discount code at your website):
R042751455346415318474077	Days to Run:
R1647442934274531530341303177	Purchase Code:
R034140462729461427393177	ContactName:
R0435452938273539314477	Disclaimer:
R0635403153164435404677	Fine Print:
R014746415318314542414030314453464153133144293427404677	Auto Responder to Merchant:
R01474641531831454241403031445346415316474429342745314477	Auto Responder to Purchaser:
R01474641531831454241403031445346415301303935405323343140531647442934274531533545531327303177	Auto Responder to Admin When Purchase is Made:
R1931383129465327405309392733315306353831	Select an Image File
R16383127453153492735465349343538315332353831455327443153283135403353474238412730313084	Please wait while files are being uploaded.
R16314030354033	Pending
R043138314631530939273331	Delete Image
R09392733315334274553283131405345472929314545324738385153474238412730313084	Image has been successfully uploaded.
R1831303131393130	Redeemed
R024147333446530251	Bought By
R19413830530251	Sold By
R1441534841472934314445533427483153283131405342474429342745313084	No vouchers have been purchased.
R1227463145465301472946354140531641454635403345	Latest Auction Postings
R13274027333139314046	Management
R19274831	Save
R122746314546530247453540314545531235454635403345	Latest Business Listings
R1351531235454635403345	My Listings
R1227463145465303382745453532353130530130531641454635403345	Latest Classified Ad Postings
R169	1+
R269	2+
R369	3+
R469	4+
R569	5+
R184569	1.5+
R284569	2.5+
R13515316444142314446353145	My Properties
R16414546531644414231444651	Post Property
R1641383853174731454635414045	Poll Questions
R686868686868686868686868685319313831294653275320414235295368686868686868686868686868	------------- Select a Topic -------------
R6868686868686868686868686853193138312946532753194231273731445368686868686868686868686868	------------- Select a Speaker -------------
R1351531946414431	My Store
R03443127463153164144462738	Create Portal
R03443127463153514147445319354631	Create your Site
R193138312946532753214531445319354631	Select a User Site
R19313831294653275313313928314453074441474277	Select a Member Group:
R054046314453162745454941443053023138414953464153223531495346343545531627333177	Enter Password Below to View this Page:
R1941444451835346343545534244413235383153304131455340414653315035454684	Sorry, this profile does not exist.
R193533405346343153074731454628414137	Sign the Guestbook
R	
R19354631532118125365315084533446464277868649494984334141333831842941396677	Site URL (ex. http://www.google.com):
R1931383129465327405309392733315346415321423841273077	Select an Image to Upload:
R043145294435424635414053650940463144402738532145314453154038516677	Description (Internal User Only):
R193138312946532753524140315346415346274433314653463431532730483144463545313931404653464177	Select a zone to target the advertisement to:
R1931383129465327531946274446530427463177	Select a Start Date:
R193138312946532753054030530427463177	Select a End Date:
R0820131253034130315365203435455349353838534148314449443546315346343153293835293745863150424145474431458353453546315321181253274030530939273331532142384127306677	HTML Code (This will overwrite the clicks/exposures, site URL and Image Upload):
R13275035394739530338352937455365054046314453796817953324144532140383539354631306677	Maximum Clicks (Enter &quot;-1&quot; for Unlimited):
R13275035394739530550424145474431455365054046314453796817953324144532140383539354631306677	Maximum Exposures (Enter &quot;-1&quot; for Unlimited):
R20414627385303383529374577	Total Clicks:
R20414627385305504241454744314577	Total Exposures:
R202744333146530130534641530327463133414435314577	Target Ad to Categories:
R20274433314653013053464153162733314577	Target Ad to Pages:
R202744333146534641530341474046445177	Target to Country:
R202744333146534641531946274631538653164441483540293177	Target to State / Province:
R202744333146530130534641531641444627384577	Target Ad to Portals:
R043145294435424635414053354553443143473544313084	Description is required.
R132750353947395303383529374553354553443143473544313084	Maximum Clicks is required.
R132750353947395305504241454744314553354553443143473544313084	Maximum Exposures is required.
R20414627385303383529374553354553443143473544313084	Total Clicks is required.
R20414627385305504241454744314553354553443143473544313084	Total Exposures is required.
R686868531931383129465327532641403153686868	--- Select a Zone ---
R19312744293453324144848484	Search for...
R0148273538272838315303274631334144353145	Available Categories
R19313831294631305303274631334144353145	Selected Categories
R054046314453463431532831333540403540335342274446534132532753292746313341445153402739315327284148315346415344474053275345312744293453464153453138312946534140315341445339414431532927463133414435314584	Enter the beginning part of a category name above to run a search to select one or more categories.
R650550845379153479534935383853453441495379153435417966	(Ex. &quot;Oh&quot; will show &quot;Ohio&quot;)
R19313831294653013838	Select All
R04316819313831294653013838	De-Select All
R013838531627333145	All Pages
R19313831294653275303414740464451	Select a Country
R0138385316414446273845	All Portals
R1531341404634	1 Month
R353134140463445	3 Months
R653134140463445	6 Months
R15325312744	1 Year
R16382740531427393177	Plan Name:
R154031684635393153164435293177	One-time Price:
R18312947444435403353164435293177	Recurring Price:
R18312947444435403353035129383177	Recurring Cycle:
R202744333146531644352935403353464153264140314577	Target Pricing to Zones:
R2027443331465316443529354033534641530327463133414435314577	Target Pricing to Categories:
R202744333146531644352935403353464153162733314577	Target Pricing to Pages:
R2027443331465316443529354033534641531641444627384577	Target Pricing to Portals:
R16382740531427393153354553443143473544313084	Plan Name is required.
R154031684635393153164435293153354553443143473544313084	One-time Price is required.
R18312947444435403353164435293153354553443143473544313084	Recurring Price is required.
R18312947444435403353035129383153354553443143473544313084	Recurring Cycle is required.
R26414031531427393177	Zone Name:
R26414031531427393153354553443143473544313084	Zone Name is required.
R0130305301472946354140	Add Auction
R16414446273877	Portal:
R19462744463540335302353077	Starting Bid:
R1341403151532041530940294431274531530235304553025177	Money To Increase Bids By:
R163529464744314577	Pictures:
R05504235442746354140530427463177	Expiration Date:
R032746313341445153354553443143473544313084	Category is required.
R203546383153354553443143473544313084	Title is required.
R19462744463540335302353053354553443143473544313084	Starting Bid is required.
R0940294431274531530235304553354553443143473544313084	Increase Bids is required.
R193138312946313053032746313341445177	Selected Category:
R193138312946530939273331530635383145	Select Image Files
R132744375327455304313227473846	Mark as Default
R04313227473846530939273331	Default Image
R0939273331	Image
R12354546534634354553292746313341445153274553454728682927463133414451534132532753292746313341445153283138414977	List this category as sub-category of a category below:
R0327463133414451531427393177	Category Name:
R0327463133414451532051423177	Category Type:
R13413031442746414477	Moderator:
R13413047383145534641531934414953032746313341445153094077	Modules to Show Category In:
R012929314545533731514553443143473544313053464153272929314545534634354553292746313341445177	Access keys required to access this category:
R0129293145455337315145534431434735443130534641534742384127308649443546315329414046314046534634354553292746313341445177	Access keys required to upload/write content this category:
R0129293145455337315145534431434735443130534641533927402733315329414046314046534634354553292746313341445177	Access keys required to manage content this category:
R1627333153203546383177	Page Title:
R1331462753043145294435424635414077	Meta Description:
R1331462753113151494144304577	Meta Keywords:
R1931383129465346343153424144462738455346415345344149534634354553292746313341445153354077	Select the portals to show this category in:
R23313533344677	Weight:
R0327463133414451531427393153354553443143473544313084	Category Name is required.
R03274631334144515314273931775365154031534231445327533835403166	Category Name: (One per a line)
R19312946354140531427393177	Section Name:
R19312946354140532031504677	Section Text:
R19312946354140531427393153354553443143473544313084	Section Name is required.
R05303546530327463133414451	Edit Category
R043138314631531931294635414045	Delete Sections
R193129463541405314273931	Section Name
R1441532947454641395332353138305345312946354140455334274831532831314053273030313084	No custom field sections have been added.
R19313831294653275319312946354140	Select a Section
R193441444653014045493144	Short Answer
R1241403353014045493144	Long Answer
R0444414230414940536513473846354238315319313831294635414066	Dropdown (Multiple Selection)
R044441423041494053651935403338315319313831294635414066	Dropdown (Single Selection)
R18273035415302474646414045	Radio Buttons
R03343129372841503145	Checkboxes
R04274631	Date
R1931294635414077	Section:
R0635313830531427393177	Field Name:
R014045493144532051423177	Answer Type:
R183143473544313077	Required:
R0138384149533235313830534641532831534531274429342728383177	Allow field to be searchable:
R1341304738314553464153453441495329474546413953323531383053354077	Modules to show custom field in:
R1641444627384553464153453441495329474546413953323531383053354077	Portals to show custom field in:
R0635313830531427393153354553443143473544313084	Field Name is required.
R014045493144532051423153354553443143473544313084	Answer Type is required.
R183143473544313053354553443143473544313084	Required is required.
R0138384149533235313830534641532831534531274429342728383153354553443143473544313084	Allow field to be searchable is required.
R2541475339474546534531383129465327465338312745315341403153394130473831534641534534414953463435455329474546413953323531383053354084	You must select at lease one module to show this custom field in.
R0247453540314545531427393153354553443143473544313084	Business Name is required.
R25414753394745465345313831294653463431533841493145465338314831385341325329274631334144515327482735382728383184	You must select the lowest level of category available.
R043138314631532051423145	Delete Types
R205142315314273931	Type Name
R20514231531427393177	Type Name:
R113151455346415348353149533148314046455335405346343545533148314046534651423177	Keys to view events in this event type:
R1131514553464153424145465346415346343545533148314046534651423177	Keys to post to this event type:
R20514231531427393153354553443143473544313084	Type Name is required.
R0431322747384653302746275334274553283131405327303031305345472929314545324738385184	Default data has been added successfully.
R1831394148315304313227473846532051423145	Remove Default Types
R04275145	Days
R2331313745	Weeks
R134140463445	Months
R2531274445	Years
R1946274446532035393177	Start Time:
R183129474444354033531542463541404577	Recurring Options:
R19313831294653163529464744314577	Select Pictures:
R1947283631294677	Subject:
R0548314046532051423153354553443143473544313084	Event Type is required.
R1947283631294653354553443143473544313084	Subject is required.
R16443529354033531931464742	Pricing Setup
R06414439531427393177	Form Name:
R0539273538532730304431454565314566534641534531403053324144395345472839354545354140455346415365193142314427463153285153453139352941384140456677	Email address(es) to send form submissions to (Seperate by semicolons):
R16273331530241305177	Page Body:
R034139423831463541405321181277	Completion URL:
R06414439531427393153354553443143473544313084	Form Name is required.
R0539273538530130304431454553354553443143473544313084	Email Address is required.
R043138314631531947283935454535414045	Delete Submissions
R064144395314273931	Form Name
R0427463153194728393546463130	Date Submitted
R14415345472839354545354140455334274831532831314053273030313084	No submissions have been added.
R193138312946532753034147444531	Select a Course
R19313831294653275303414744453177	Select a Course:
R19313831294653275316443145314046274635414053223530314177	Select a Presentation Video:
R044731530427463177	Due Date:
R01454535334039314046530146462729343931404677	Assignment Attachment:
R03414744453153354553443143473544313084	Course is required.
R19313831294653275322353031415306353831	Select a Video File
R0431383146315306353831	Delete File
R063538315334274553283131405345472929314545324738385153474238412730313084	File has been successfully uploaded.
